base_model,epoch,train_accuracy,train_loss,val_accuracy,val_loss,test_accuracy,test_loss,num_params,classification_time
inception,27,0.92,0.49,0.779233871,0.994738401,0.779233871,0.978972072,24023960,0.030838751
inception,28,0.93,0.462,0.777217742,0.991752652,0.772177419,1.004457379,24023960,0.030883817
inception,29,0.94,0.441,0.77016129,1.025288397,0.768145161,1.019864919,24023960,0.030672558
inception,30,0.94,0.421,0.769153226,1.02944308,0.775201613,1.025349061,24023960,0.031255975
inception,31,0.94,0.409,0.773185484,1.036424273,0.771169355,1.039035322,24023960,0.030728916
inception,32,0.95,0.385,0.779233871,1.041544114,0.777217742,1.047942838,24023960,0.030515019
inception,33,0.96,0.364,0.768145161,1.044894891,0.773185484,1.046671048,24023960,0.030579348
inception,34,0.96,0.354,0.779233871,1.041730663,0.776209677,1.066283127,24023960,0.031290085
inception,35,0.96,0.334,0.775201613,1.077187493,0.779233871,1.069277594,24023960,0.030411573
inception,36,0.97,0.319,0.772177419,1.071682437,0.776209677,1.064158272,24023960,0.0303173
inception,37,0.97,0.309,0.777217742,1.084560397,0.772177419,1.073524171,24023960,0.030333236
inception,38,0.97,0.293,0.774193548,1.077126959,0.771169355,1.092408687,24023960,0.030616808
inception,39,0.98,0.28,0.772177419,1.089782695,0.77016129,1.097405045,24023960,0.030346725
inception,40,0.98,0.264,0.774193548,1.084873228,0.778225806,1.104865315,24023960,0.031069453
inception,41,0.98,0.261,0.77016129,1.098580627,0.776209677,1.109613226,24023960,0.030547228
inception,42,0.98,0.248,0.772177419,1.103466601,0.773185484,1.12987313,24023960,0.030517904
inception,43,0.98,0.238,0.77016129,1.117246177,0.769153226,1.114764039,24023960,0.030890591
inception,44,0.99,0.226,0.768145161,1.126200645,0.771169355,1.145236911,24023960,0.031097497
inception,45,0.99,0.218,0.769153226,1.133370858,0.771169355,1.143664331,24023960,0.030479824
inception,46,0.99,0.21,0.772177419,1.139652035,0.767137097,1.151272128,24023960,0.03088475
inception,47,0.99,0.197,0.769153226,1.147513905,0.768145161,1.1305579,24023960,0.031111927
inception,48,0.99,0.194,0.771169355,1.151069341,0.777217742,1.135894152,24023960,0.030876388
inception,49,0.99,0.186,0.772177419,1.165746972,0.773185484,1.15863772,24023960,0.030804571
inception,50,0.99,0.182,0.774193548,1.169319222,0.775201613,1.155940158,24023960,0.030961444
inception_resnet_v2,1,0.34,3.835,0.775201613,1.365514055,0.787298387,1.36749601,56033624,0.055434036
inception_resnet_v2,2,0.65,2.055,0.820564516,0.59129876,0.817540323,0.620257896,56033624,0.054030273
inception_resnet_v2,3,0.7,1.457,0.844758065,0.556582546,0.83266129,0.607923978,56033624,0.053556132
inception_resnet_v2,4,0.73,1.25,0.85483871,0.566741833,0.834677419,0.624338789,56033624,0.05323475
inception_resnet_v2,5,0.75,1.123,0.848790323,0.588759444,0.836693548,0.641377341,56033624,0.054239248
inception_resnet_v2,6,0.76,1.037,0.851814516,0.583391342,0.837701613,0.654357493,56033624,0.053731232
inception_resnet_v2,7,0.78,0.954,0.856854839,0.58178032,0.834677419,0.68421353,56033624,0.054060319
inception_resnet_v2,8,0.79,0.891,0.860887097,0.60720608,0.842741935,0.671903994,56033624,0.054039429
inception_resnet_v2,9,0.81,0.826,0.855846774,0.614664815,0.833669355,0.692808355,56033624,0.053997759
inception_resnet_v2,10,0.83,0.765,0.861895161,0.614004078,0.834677419,0.684789099,56033624,0.05502713
inception_resnet_v2,11,0.83,0.719,0.853830645,0.634131656,0.837701613,0.708469266,56033624,0.053619624
inception_resnet_v2,12,0.85,0.666,0.852822581,0.636736051,0.836693548,0.711144262,56033624,0.053592452
inception_resnet_v2,13,0.86,0.624,0.857862903,0.635902369,0.838709677,0.712033102,56033624,0.054195039
inception_resnet_v2,14,0.88,0.575,0.855846774,0.63275078,0.841733871,0.688573828,56033624,0.053678269
inception_resnet_v2,15,0.88,0.545,0.857862903,0.650236253,0.836693548,0.728333636,56033624,0.053738046
inception_resnet_v2,16,0.9,0.496,0.851814516,0.653627079,0.837701613,0.722368631,56033624,0.053611982
inception_resnet_v2,17,0.91,0.468,0.857862903,0.661866357,0.83266129,0.726002503,56033624,0.054004315
inception_resnet_v2,18,0.92,0.431,0.852822581,0.655235024,0.841733871,0.721384241,56033624,0.054513545
inception_resnet_v2,19,0.93,0.404,0.856854839,0.666686874,0.828629032,0.734383517,56033624,0.054413808
inception_resnet_v2,20,0.93,0.372,0.860887097,0.664330459,0.837701613,0.73414728,56033624,0.054215758
inception_resnet_v2,21,0.94,0.349,0.862903226,0.677815296,0.834677419,0.735509217,56033624,0.0543088
inception_resnet_v2,22,0.95,0.32,0.853830645,0.686723567,0.833669355,0.74508881,56033624,0.054793734
inception_resnet_v2,23,0.95,0.299,0.857862903,0.685120159,0.838709677,0.741390505,56033624,0.0540174
inception_resnet_v2,24,0.96,0.279,0.855846774,0.698748381,0.835685484,0.753766568,56033624,0.053599528
inception_resnet_v2,25,0.96,0.259,0.855846774,0.695483837,0.837701613,0.747754361,56033624,0.054086537
inception_resnet_v2,26,0.97,0.242,0.85483871,0.705900629,0.833669355,0.752770008,56033624,0.053914037
inception_resnet_v2,27,0.97,0.224,0.857862903,0.702887564,0.840725806,0.753107206,56033624,0.054006428
inception_resnet_v2,28,0.98,0.211,0.857862903,0.704145977,0.835685484,0.7507807,56033624,0.054296791
inception_resnet_v2,29,0.98,0.196,0.850806452,0.711498265,0.836693548,0.769710429,56033624,0.053418235
inception_resnet_v2,30,0.98,0.186,0.850806452,0.723797408,0.837701613,0.770439073,56033624,0.053551937
inception_resnet_v2,31,0.98,0.167,0.849798387,0.726996648,0.838709677,0.772459264,56033624,0.053834953
inception_resnet_v2,32,0.98,0.164,0.849798387,0.734884333,0.830645161,0.786026018,56033624,0.053660422
inception_resnet_v2,33,0.98,0.151,0.851814516,0.735915285,0.83266129,0.781701672,56033624,0.053341909
inception_resnet_v2,34,0.99,0.142,0.851814516,0.740317598,0.836693548,0.788180129,56033624,0.053449231
inception_resnet_v2,35,0.99,0.134,0.848790323,0.7442474,0.834677419,0.784390849,56033624,0.053380629
inception_resnet_v2,36,0.99,0.126,0.850806452,0.754406994,0.836693548,0.79669907,56033624,0.053473829
inception_resnet_v2,37,0.99,0.12,0.849798387,0.764711355,0.829637097,0.802190142,56033624,0.0537778
inception_resnet_v2,38,0.99,0.113,0.849798387,0.764704947,0.833669355,0.80243089,56033624,0.053588645
inception_resnet_v2,39,0.99,0.108,0.848790323,0.761410438,0.83266129,0.804665811,56033624,0.054338845
inception_resnet_v2,40,0.99,0.101,0.851814516,0.77181697,0.835685484,0.815137394,56033624,0.053213278
inception_resnet_v2,41,0.99,0.096,0.847782258,0.773000182,0.831653226,0.815454656,56033624,0.053674584
inception_resnet_v2,42,0.99,0.092,0.845766129,0.775503183,0.833669355,0.816077325,56033624,0.054028233
inception_resnet_v2,43,1,0.089,0.848790323,0.781611397,0.836693548,0.819001765,56033624,0.053296923
inception_resnet_v2,44,1,0.083,0.848790323,0.792373997,0.831653226,0.827173006,56033624,0.053250303
inception_resnet_v2,45,1,0.08,0.846774194,0.793269634,0.831653226,0.833293007,56033624,0.053764515
inception_resnet_v2,46,1,0.077,0.844758065,0.793920224,0.835685484,0.831515387,56033624,0.053250201
inception_resnet_v2,47,1,0.073,0.846774194,0.799165358,0.829637097,0.841298023,56033624,0.053484955
mobilenet_v2,1,0.283,3.572,0.553427419,1.916806652,0.566532258,1.968495823,3692728,0.025464572
mobilenet_v2,2,0.658,1.545,0.696572581,1.111725965,0.6875,1.166484575,3692728,0.024661857
mobilenet_v2,3,0.765,1.013,0.724798387,0.957118896,0.713709677,1.006661157,3692728,0.024367615
mobilenet_v2,4,0.821,0.772,0.736895161,0.897910799,0.740927419,0.938088546,3692728,0.024861673
mobilenet_v2,5,0.865,0.615,0.741935484,0.852637993,0.741935484,0.902050559,3692728,0.024266519
mobilenet_v2,6,0.903,0.494,0.73891129,0.824370892,0.740927419,0.893376458,3692728,0.024291837
mobilenet_v2,7,0.932,0.399,0.748991935,0.810718544,0.752016129,0.86106395,3692728,0.024281099
mobilenet_v2,8,0.956,0.325,0.755040323,0.797174513,0.75,0.869383509,3692728,0.024595833
mobilenet_v2,9,0.97,0.268,0.759072581,0.791531824,0.760080645,0.855932721,3692728,0.024217934
mobilenet_v2,10,0.983,0.221,0.760080645,0.782777486,0.744959677,0.850943014,3692728,0.024309094
mobilenet_v2,11,0.988,0.185,0.757056452,0.768116832,0.754032258,0.8344354,3692728,0.024692284
mobilenet_v2,12,0.993,0.156,0.77016129,0.756552455,0.763104839,0.824526234,3692728,0.024321924
mobilenet_v2,13,0.997,0.134,0.765120968,0.763413066,0.762096774,0.828220086,3692728,0.024379389
mobilenet_v2,14,0.998,0.117,0.757056452,0.756369185,0.760080645,0.824034237,3692728,0.024541466
mobilenet_v2,15,0.999,0.102,0.767137097,0.750326889,0.757056452,0.819945231,3692728,0.024598628
mobilenet_v2,16,0.999,0.091,0.766129032,0.74455899,0.759072581,0.824242142,3692728,0.024596578
mobilenet_v2,17,1,0.08,0.760080645,0.74636974,0.753024194,0.821942455,3692728,0.024477648
mobilenet_v2,18,1,0.073,0.77016129,0.740853415,0.760080645,0.825587147,3692728,0.024377627
mobilenet_v2,19,1,0.067,0.767137097,0.743472617,0.756048387,0.825091119,3692728,0.024607413
mobilenet_v2,20,1,0.06,0.767137097,0.74786511,0.760080645,0.823251505,3692728,0.024402195
mobilenet_v2,21,1,0.056,0.767137097,0.747795915,0.756048387,0.82848317,3692728,0.024194624
mobilenet_v2,22,1,0.052,0.76108871,0.747475443,0.759072581,0.820998497,3692728,0.024399928
mobilenet_v2,23,1,0.048,0.771169355,0.749364303,0.757056452,0.834611321,3692728,0.024387149
mobilenet_v2,24,1,0.045,0.772177419,0.750418143,0.758064516,0.82944499,3692728,0.024743144
mobilenet_v2,25,1,0.042,0.769153226,0.751914818,0.756048387,0.835898517,3692728,0.024606561
mobilenet_v2,26,1,0.04,0.766129032,0.755819193,0.759072581,0.831272108,3692728,0.024327814
mobilenet_v2,27,1,0.037,0.767137097,0.754173246,0.760080645,0.83188529,3692728,0.024927733
mobilenet_v2,28,1,0.035,0.763104839,0.755269619,0.759072581,0.83914435,3692728,0.02473084
resnet50,1,0.27,3.564,0.535282258,1.797708557,0.547379032,1.824118926,25808888,0.039498813
resnet50,2,0.67,1.465,0.696572581,1.06727768,0.683467742,1.112492329,25808888,0.038161685
resnet50,3,0.78,0.905,0.714717742,0.944035316,0.714717742,1.000032254,25808888,0.038188721
resnet50,4,0.85,0.671,0.72983871,0.911479098,0.710685484,0.975540161,25808888,0.037874741
resnet50,5,0.89,0.515,0.733870968,0.850973158,0.711693548,0.935323886,25808888,0.038703764
resnet50,6,0.92,0.408,0.73891129,0.841931277,0.733870968,0.915372399,25808888,0.038956204
resnet50,7,0.95,0.327,0.735887097,0.856194497,0.717741935,0.935055827,25808888,0.0377931
resnet50,8,0.97,0.267,0.744959677,0.830211658,0.731854839,0.907904258,25808888,0.038572214
resnet50,9,0.98,0.216,0.737903226,0.841531776,0.734879032,0.913132663,25808888,0.038674281
resnet50,10,0.98,0.18,0.742943548,0.842136261,0.731854839,0.911600365,25808888,0.038547954
resnet50,11,0.99,0.151,0.740927419,0.822613747,0.737903226,0.918441984,25808888,0.038038621
resnet50,12,0.99,0.129,0.744959677,0.827135575,0.737903226,0.920447707,25808888,0.038289545
resnet50,13,1,0.111,0.741935484,0.833522312,0.736895161,0.926752115,25808888,0.038468671
resnet50,14,1,0.096,0.744959677,0.833981662,0.739919355,0.927381402,25808888,0.038068652
resnet50,15,1,0.087,0.748991935,0.824870634,0.741935484,0.935907905,25808888,0.038174325
resnet50,16,1,0.077,0.742943548,0.840548946,0.737903226,0.947931046,25808888,0.038098277
resnet50,17,1,0.068,0.751008065,0.828075193,0.73891129,0.937046964,25808888,0.037946306
resnet50,18,1,0.063,0.751008065,0.829972379,0.73891129,0.937749294,25808888,0.038216521
resnet50,19,1,0.056,0.755040323,0.830881433,0.73891129,0.943030892,25808888,0.037910269
resnet50,20,1,0.052,0.75,0.847123024,0.752016129,0.951348619,25808888,0.038197977
resnet50,21,1,0.048,0.752016129,0.844977759,0.740927419,0.951717011,25808888,0.038681701
resnet50,22,1,0.045,0.751008065,0.84443831,0.739919355,0.964971497,25808888,0.038144049
resnet50,23,1,0.041,0.753024194,0.851862216,0.741935484,0.960059546,25808888,0.038630837
resnet50,24,1,0.039,0.747983871,0.857852617,0.733870968,0.969653002,25808888,0.038439089
resnet50,25,1,0.036,0.746975806,0.863948232,0.745967742,0.977909603,25808888,0.038450554
resnet50,26,1,0.034,0.748991935,0.861048122,0.741935484,0.97699564,25808888,0.037940628
resnet50,27,1,0.032,0.748991935,0.863316618,0.736895161,0.984110147,25808888,0.03852244
resnet50,28,1,0.03,0.752016129,0.867907145,0.741935484,0.985300803,25808888,0.038397356
resnet50,29,1,0.029,0.756048387,0.871874426,0.745967742,0.982727606,25808888,0.038502972
resnet50,30,1,0.027,0.753024194,0.873759149,0.746975806,0.990083439,25808888,0.038890995
resnet50,31,1,0.026,0.752016129,0.877200834,0.740927419,0.993782734,25808888,0.037930667
resnet50,32,1,0.025,0.75,0.882494465,0.742943548,0.993582985,25808888,0.038650664
resnet50,33,1,0.024,0.753024194,0.879645397,0.746975806,0.995262446,25808888,0.0382984
resnet50,34,1,0.022,0.755040323,0.886630028,0.746975806,1.0017639,25808888,0.038015097
resnet50,35,1,0.022,0.758064516,0.885915099,0.742943548,1.003747168,25808888,0.038529041
resnet50,36,1,0.021,0.753024194,0.889379901,0.742943548,1.006401835,25808888,0.038467365
resnet50,37,1,0.02,0.745967742,0.893764924,0.745967742,1.013830083,25808888,0.038566329
resnet50,38,1,0.019,0.755040323,0.895114388,0.746975806,1.014529411,25808888,0.037861128
resnet50,39,1,0.018,0.754032258,0.896451249,0.747983871,1.013959863,25808888,0.038266481
resnet50,40,1,0.018,0.752016129,0.893549908,0.745967742,1.016456635,25808888,0.038197699
resnet50,41,1,0.017,0.751008065,0.896198192,0.743951613,1.021960732,25808888,0.038391114
resnet50,42,1,0.017,0.756048387,0.899645746,0.742943548,1.022264252,25808888,0.037954403
resnet50,43,1,0.016,0.755040323,0.90211984,0.745967742,1.02608033,25808888,0.038023942
resnet50,44,1,0.015,0.755040323,0.903449994,0.745967742,1.026208468,25808888,0.038161695
resnet50,45,1,0.015,0.755040323,0.906136695,0.746975806,1.027950708,25808888,0.038599358
resnet50,46,1,0.015,0.753024194,0.907021412,0.745967742,1.032280374,25808888,0.038435893
resnet50,47,1,0.014,0.756048387,0.910500255,0.75,1.034020139,25808888,0.038627725
resnet50,48,1,0.014,0.753024194,0.91236544,0.746975806,1.039008431,25808888,0.038112994
resnet50,49,1,0.013,0.751008065,0.915949321,0.745967742,1.043257691,25808888,0.037961762
resnet50,50,1,0.013,0.756048387,0.916510523,0.746975806,1.041666446,25808888,0.038010325
xception,1,0.109,4.595,0.360887097,4.171282384,0.341733871,4.17636153,23082656,0.044606553
xception,2,0.403,3.825,0.59375,2.872612199,0.588709677,2.912175648,23082656,0.042594502
xception,3,0.593,2.659,0.700604839,1.653315636,0.688508065,1.7097637,23082656,0.042151296
xception,4,0.69,1.774,0.728830645,1.105729449,0.751008065,1.154044709,23082656,0.043217868
xception,5,0.729,1.348,0.758064516,0.911805364,0.763104839,0.949278655,23082656,0.04288086
xception,6,0.753,1.139,0.769153226,0.801561174,0.78125,0.848488779,23082656,0.042792902
xception,7,0.767,1.008,0.775201613,0.754197176,0.778225806,0.809344761,23082656,0.042511862
xception,8,0.784,0.92,0.771169355,0.738304115,0.774193548,0.789137308,23082656,0.042603906
xception,9,0.798,0.841,0.789314516,0.705226952,0.77016129,0.781292956,23082656,0.042443868
xception,10,0.815,0.781,0.785282258,0.69361278,0.783266129,0.760753252,23082656,0.042822665
xception,11,0.827,0.727,0.790322581,0.678064349,0.782258065,0.757773429,23082656,0.042964754
xception,12,0.837,0.675,0.793346774,0.668433001,0.783266129,0.745221158,23082656,0.042423158
xception,13,0.849,0.638,0.80141129,0.654579622,0.779233871,0.755315034,23082656,0.042968054
xception,14,0.861,0.588,0.797379032,0.651732179,0.788306452,0.757837188,23082656,0.042683355
xception,15,0.873,0.56,0.799395161,0.657321005,0.785282258,0.754140388,23082656,0.042608187
xception,16,0.881,0.52,0.807459677,0.645893161,0.783266129,0.759024563,23082656,0.043417156
xception,17,0.892,0.485,0.791330645,0.652969529,0.791330645,0.75007961,23082656,0.042536311
xception,18,0.902,0.452,0.793346774,0.649804116,0.784274194,0.759804843,23082656,0.042811693
xception,19,0.911,0.422,0.804435484,0.637806215,0.79233871,0.757688298,23082656,0.042613861
xception,20,0.92,0.398,0.794354839,0.645518532,0.790322581,0.764670193,23082656,0.042745876
xception,21,0.926,0.368,0.794354839,0.639222457,0.789314516,0.759542262,23082656,0.04315867
xception,22,0.932,0.345,0.798387097,0.642719728,0.788306452,0.764057066,23082656,0.044747858
xception,23,0.943,0.319,0.810483871,0.637462748,0.789314516,0.772162791,23082656,0.043051353
xception,24,0.948,0.299,0.797379032,0.637296184,0.788306452,0.77476545,23082656,0.042898307
xception,25,0.955,0.278,0.805443548,0.639586989,0.788306452,0.780902922,23082656,0.043283026
xception,26,0.96,0.26,0.805443548,0.637330261,0.79233871,0.78441191,23082656,0.043005282
xception,27,0.967,0.24,0.796370968,0.637647579,0.794354839,0.783616495,23082656,0.042538895
xception,28,0.968,0.227,0.797379032,0.649132243,0.788306452,0.788999957,23082656,0.042258388
xception,29,0.973,0.207,0.799395161,0.646318145,0.787298387,0.800544899,23082656,0.042439204
xception,30,0.977,0.198,0.797379032,0.650633621,0.782258065,0.806430061,23082656,0.043385986
xception,31,0.977,0.183,0.798387097,0.648269122,0.785282258,0.807191482,23082656,0.043200437
xception,32,0.981,0.169,0.799395161,0.648419521,0.79233871,0.805911184,23082656,0.042521828
xception,33,0.982,0.161,0.797379032,0.64909434,0.788306452,0.811827258,23082656,0.042730186
xception,34,0.985,0.149,0.796370968,0.651469978,0.784274194,0.806119143,23082656,0.042640781
xception,35,0.986,0.14,0.796370968,0.654107942,0.793346774,0.816562784,23082656,0.04288395
xception,36,0.987,0.135,0.802419355,0.648771416,0.783266129,0.814342303,23082656,0.042199436
xception,37,0.99,0.123,0.798387097,0.658270083,0.784274194,0.822096159,23082656,0.042373531
xception,38,0.99,0.118,0.797379032,0.656580385,0.790322581,0.83004836,23082656,0.045111977
xception,39,0.993,0.109,0.799395161,0.657220406,0.783266129,0.831362605,23082656,0.0427614
xception,40,0.993,0.104,0.80141129,0.654743352,0.787298387,0.835061977,23082656,0.043067445
xception,41,0.993,0.099,0.794354839,0.66575231,0.785282258,0.84050008,23082656,0.043172372
xception,42,0.994,0.094,0.798387097,0.667217411,0.790322581,0.845848018,23082656,0.041984668
xception,43,0.996,0.087,0.80141129,0.665436318,0.782258065,0.848322665,23082656,0.042746763
xception,44,0.996,0.084,0.793346774,0.668185918,0.783266129,0.853778813,23082656,0.04332938
xception,45,0.996,0.081,0.793346774,0.671975916,0.782258065,0.855099862,23082656,0.043429054
xception,46,0.997,0.077,0.800403226,0.674171068,0.785282258,0.855874552,23082656,0.042817423
xception,47,0.998,0.072,0.797379032,0.681336054,0.782258065,0.860738912,23082656,0.042281479
xception,48,0.998,0.068,0.798387097,0.677394427,0.782258065,0.861286678,23082656,0.042633004
xception,49,0.998,0.066,0.798387097,0.682496558,0.779233871,0.873576758,23082656,0.042838217
xception,50,0.999,0.063,0.798387097,0.683324617,0.784274194,0.870862714,23082656,0.042472029
