,id,breed,breed_id
6313,9f68d045a396679a778eb54c5ed29038,lakeland_terrier,91.0
9669,f375e6363bc21dcd3cb65637c7855e9c,silky_terrier,41.0
39,010e87fdf252645a827e37470e65e842,groenendael,8.0
6896,ad2dfa0202d8ea3766fea1e743cd5166,standard_schnauzer,7.0
6579,a579a1802c57cfbc31b79781f6f37a39,malamute,53.0
6332,9fbbb409d665cd228436cb2c7cfff39e,pembroke,72.0
2940,48a6216e20a8d088474681a2dc3fa623,airedale,12.0
8668,d974d73918177dd97349f07bff519f3e,chow,49.0
4236,6978118af96288c761f89f454c445aa0,flat-coated_retriever,90.0
5924,95a35be5b90604e39e5177723ca0b348,affenpinscher,22.0
7271,b6281e28d445000d206c5d89af27335c,norwegian_elkhound,75.0
4074,656f928b521e23eeaffcd9e432bfd0d0,miniature_poodle,31.0
8414,d34ca643d6c19c9943b40af456e62cd3,scottish_deerhound,78.0
3789,5de4391e5cdee98403e677607fd9f6b3,greater_swiss_mountain_dog,108.0
8517,d5c9f2708cfc84beb1f5af5b74a5b92d,french_bulldog,48.0
9321,e9fc775bd40d6d7273ff093fa12a0574,english_foxhound,37.0
8097,ca5157b5031f9f164fb35284c7fbfca4,leonberg,102.0
7822,c388a84f93ba4fb28c7b1a7a880474f1,lhasa,87.0
3942,61e259f889548a4cfd3ffc5258de2a60,boxer,42.0
8285,cf853fd31d054b54395a43469d1f49a8,italian_greyhound,9.0
6544,a4c3902d1ebb959d51e2488804b43c99,shih-tzu,3.0
8756,db5dfb60b06747b115402c9562959e12,french_bulldog,48.0
7994,c7f915c8e4ced5a955be4679b389b83a,bedlington_terrier,84.0
6832,ab9e3dead24985735ae40b5bba7cb4af,shih-tzu,3.0
6628,a694bb8740fe5042c5d1b1a19445a250,affenpinscher,22.0
2839,45f263924742d423eb229f49aad24151,black-and-tan_coonhound,32.0
6848,abe55e39cafb1abc85bb6b00376222f0,toy_poodle,0.0
1788,2c5ceeb88110e5fea161cae699aee8dc,beagle,105.0
9646,f2cb6f6dfc542d47bfcea63b0dd78c6e,brittany_spaniel,43.0
5543,8bf58e563f62837df002040db7d84311,chesapeake_bay_retriever,18.0
7925,c61a74191ee3f5a485c17f69c6f9ad12,bernese_mountain_dog,25.0
10097,fce950ef7cf99efcb26297537bdf5dd4,ibizan_hound,30.0
9885,f88b18233f76dcfb8dc49ab1820fa0dd,schipperke,5.0
5147,8215b9c75eb7c7d503de426b7175ea36,bloodhound,73.0
4425,6e83d477ab18e964cb7e182fc8cf9625,pomeranian,117.0
1240,1ea7adfd17a58475b764cc95431e2315,kerry_blue_terrier,23.0
5818,92eac03e18067b690a54a0e301f4448c,border_terrier,71.0
6621,a671803d1eed0aada084f65eb084ba28,siberian_husky,118.0
1813,2cd30e4c6aefb60281db1caec0d5040f,bedlington_terrier,84.0
5962,968d6f3b48f707e6e22341bcc8dea9e6,doberman,63.0
9,0042188c895a2f14ef64a918ed9c7b64,scottish_deerhound,78.0
8919,dfd42ce694fd4af24a71392b94176b56,leonberg,102.0
2958,49186fb43178b462d273cc98e330e26a,afghan_hound,20.0
6726,a8b9ff7ca06057bca49a48efe93487ce,rottweiler,76.0
499,0c0bca6e79cc323669da06bab0013b12,mexican_hairless,93.0
6806,aaf069f36b79c6499c6e746454c91f64,great_pyrenees,28.0
1829,2d281959a02178bbcdeea424c8757b1d,saluki,58.0
915,168e2da635938b82819b8a45bbd3dd0d,collie,16.0
8494,d5470b760dc855b84add98748e03bd77,boston_bull,27.0
10125,fd8bd9ce34326d7fea7b85040510bdbb,bloodhound,73.0
9544,ef4efe7980d873475501b56804670c6a,appenzeller,54.0
